open_time,open,high,low,close,volume,num_trades,taker_base_vol
1502942400000,4261.48,4349.99,4261.32,4349.99,82.088865,334,64.013727
1502956800000,4333.32,4485.39,4333.32,4427.3,63.619882,248,58.787633
1502971200000,4436.06,4485.39,4333.42,4352.34,174.562001,858,125.184133
1502985600000,4352.33,4354.84,4200.74,4325.23,225.109716,986,165.036363
1503000000000,4307.56,4369.69,4258.56,4285.08,249.769913,1001,203.226685
1503014400000,4285.08,4340.62,4134.61,4292.39,276.193043,1036,214.65557
1503028800000,4292.39,4340.62,4234.43,4300.25,248.389029,1135,203.646699
1503043200000,4285.0,4371.52,4259.85,4340.31,196.140129,880,167.105732
1503057600000,4320.52,4340.31,4193.7,4236.89,175.969384,697,147.078312
1503072000000,4234.54,4297.75,4015.7,4136.28,193.64697,753,153.458944
1503086400000,4135.0,4136.48,3938.77,4108.37,109.549709,732,86.923453
1503100800000,4108.37,4184.69,4084.28,4138.55,108.510448,585,92.399174
1503115200000,4138.5,4156.0,3933.21,4033.47,112.752079,493,76.679027
1503129600000,4033.47,4082.25,3850.0,3957.6,77.256042,481,44.219584
1503144000000,3945.12,4100.0,3928.89,3972.05,47.515578,320,33.814759
1503158400000,4036.19,4103.92,3953.4,4076.12,25.925056,161,20.098673
1503172800000,4088.71,4149.99,4051.47,4139.98,9.35056,113,7.124825
1503187200000,4120.98,4139.98,4044.0,4094.62,6.611283,79,5.758385
1503201600000,4094.62,4156.56,4081.19,4155.87,28.60391,275,20.148087
1503216000000,4155.87,4211.08,4032.62,4106.53,36.019943,268,20.259055
1503230400000,4106.53,4125.43,4063.35,4125.0,29.113266,128,22.330986
1503244800000,4125.0,4185.94,4091.59,4164.6,169.995517,689,146.825698
1503259200000,4161.59,4171.62,4069.13,4086.29,196.739103,882,161.473736
1503273600000,4069.13,4119.62,4039.0,4084.76,220.838143,931,192.385542
1503288000000,4079.26,4104.68,3953.4,4043.63,222.575129,1200,179.073425
1503302400000,4043.63,4088.12,4000.01,4023.11,78.878314,454,63.705722
1503316800000,4023.11,4023.11,3911.79,4022.0,43.762796,479,17.954574
1503331200000,4005.99,4042.11,3918.8,4027.05,24.46693,330,17.923313
1503345600000,4027.05,4070.49,3950.0,4016.0,101.221748,578,86.313531
1503360000000,4016.0,4016.0,3688.97,3862.39,114.685346,731,79.20673
1503374400000,3863.0,3868.57,3400.0,3798.08,167.221519,935,109.434454
1503388800000,3798.08,3920.31,3750.08,3866.48,221.731236,1466,138.502727
1503403200000,3866.48,3990.12,3786.81,3858.23,179.358421,1471,42.155693
1503417600000,3858.23,4104.82,3853.47,3984.24,159.535655,1017,28.138591
1503432000000,3984.5,4061.54,3944.03,4040.0,124.152681,874,26.556986
1503446400000,4040.0,4127.99,4013.89,4100.41,159.658384,997,23.420493
1503460800000,4084.54,4115.87,4035.32,4074.88,141.839603,1111,27.284199
1503475200000,4081.63,4242.32,4057.0,4237.99,135.024022,1053,36.19523
1503489600000,4205.98,4265.8,4150.65,4197.05,237.360569,2601,128.947715
1503504000000,4226.94,4259.58,4103.51,4117.07,174.637585,1856,53.984078
1503518400000,4136.48,4178.65,4069.8,4114.01,152.616402,1011,39.587377
1503532800000,4147.0,4204.55,4085.01,4113.58,123.52015,903,27.060743
1503547200000,4113.58,4177.64,4090.39,4153.32,123.17946,789,21.656149
1503561600000,4153.8,4250.94,4150.0,4202.0,171.486488,1714,73.05585
1503576000000,4211.78,4250.9,4136.33,4222.0,146.997342,1264,43.382732
1503590400000,4223.06,4250.77,4178.22,4216.07,111.579358,839,16.24123
1503604800000,4216.1,4371.68,4193.17,4316.01,110.655955,738,25.423708
1503619200000,4316.01,4370.0,4295.75,4312.69,141.104526,1511,28.508088
1503633600000,4312.69,4362.0,4267.5,4329.0,101.509543,925,18.262736
1503648000000,4317.81,4361.28,4298.74,4361.27,74.43306,694,15.959571
1503662400000,4361.27,4422.29,4261.13,4394.36,164.206656,2407,23.930431
1503676800000,4394.36,4453.91,4284.11,4307.17,52.39933,518,8.162051
1503691200000,4326.0,4365.0,4247.48,4280.68,39.959625,499,5.275097
1503705600000,4280.71,4315.0,4228.99,4297.94,41.638568,425,5.690846
1503720000000,4297.94,4319.7,4252.44,4319.7,28.707288,264,7.440958
1503734400000,4319.7,4319.7,4260.88,4288.72,36.153081,242,6.650417
1503748800000,4288.72,4306.74,4221.14,4275.0,34.654984,364,11.245799
1503763200000,4275.0,4351.32,4212.41,4293.52,47.431108,550,16.119489
1503777600000,4293.52,4367.0,4279.0,4337.44,39.523039,415,9.042632
1503792000000,4332.51,4400.0,4314.91,4314.91,62.980388,731,18.202448
1503806400000,4329.19,4370.85,4293.42,4313.84,47.478199,500,7.930591
1503820800000,4331.29,4352.34,4285.56,4323.37,57.138682,863,20.357794
1503835200000,4340.0,4340.0,4285.54,4325.0,35.277424,448,6.562835
1503849600000,4290.01,4386.78,4290.01,4368.41,72.11126,588,30.331784
1503864000000,4336.12,4386.79,4309.6,4310.01,75.706632,540,18.265906
1503878400000,4310.01,4330.36,4239.36,4239.37,73.295355,629,12.495602
1503892800000,4239.36,4297.11,4124.54,4261.9,94.397198,913,47.613999
1503907200000,4261.9,4365.4,4226.93,4308.0,121.722034,670,38.241618
1503921600000,4309.0,4347.0,4271.03,4273.59,121.858551,779,24.12777
1503936000000,4317.2,4370.45,4273.59,4321.65,107.225677,757,9.158929
1503950400000,4321.65,4399.82,4290.18,4386.69,85.342801,601,11.149864
1503964800000,4353.65,4386.69,4314.35,4376.99,78.862074,618,15.822293
1503979200000,4363.48,4404.07,4313.55,4329.02,128.456959,894,31.059638
1503993600000,4328.12,4417.61,4328.12,4368.5,88.051429,701,16.677621
1504008000000,4368.5,4625.85,4347.59,4570.0,128.764571,839,37.761823
1504022400000,4569.65,4584.0,4496.95,4555.55,127.21423,751,25.858034
1504036800000,4540.0,4624.99,4535.09,4587.48,52.195765,356,16.263158
1504051200000,4564.52,4619.99,4527.45,4583.61,119.42503,771,12.765248
1504065600000,4600.0,4647.51,4550.01,4550.02,149.551451,787,31.591102
1504080000000,4550.0,4597.0,4416.01,4498.35,176.151828,1337,57.17184
